UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0021000650650|KR SPR TOB V-O SFT SPR TB     |GR|POUND |0003000|001|00001000000|0052
0021000651060|MIRACLE C-O WHP 6ST           |GR|POUND |0001000|001|00001000000|0053
0021000651100|MIRACLE V-O WHP 6ST           |GR|POUND |0001000|001|00001000000|0054
0021000651320|MIRACLE V-O WHP SFT TB        |GR|POUND |0001000|001|00001000000|0055
0021000650150|PKY V-O LT SFT SPR TB         |GR|POUND |0002000|001|00001000000|0056
0021000650180|PKY C-O LT SFT SPR TB         |GR|POUND |0002000|001|00001000000|0057
0021000650190|PKY V-O LT SFT SPR TB         |GR|POUND |0003000|001|00001000000|0058
0021000650200|PKY V-O 4ST                   |GR|POUND |0001000|001|00001000000|0059
0021000650470|PKY C SY-O LIQ SQZ BTL B      |GR|POUND |0001000|001|00001000000|0060
0021000650480|PKY C SY-O LIQ SQZ BTL B-G    |GR|POUND |0001000|001|00001000000|0061
0021000650490|PKY C SY-O LIQ SQZ BTL B-L    |GR|POUND |0001000|001|00001000000|0062
0021000650940|PKY V-O LT 4ST                |GR|POUND |0001000|001|00001000000|0063
0021000650990|PKY V-O LT SPR TB             |GR|POUND |0001000|001|00001000000|0064
0021000651110|PKY V-O WHP 6ST               |GR|POUND |0001000|001|00001000000|0065
0021000651280|PKY V-O SFT TB                |GR|POUND |0001000|001|00001000000|0066
0021000651330|PKY V-O SFT 2TB               |GR|POUND |0001000|001|00001000000|0067
0021000651340|PKY C-O SFT 2TB               |GR|POUND |0001000|001|00001000000|0068
0021000651440|PKY V-O WHP SFT 2TB           |GR|POUND |0001000|001|00001000000|0069
0021000651500|PKY V-O LIQ SQZ BTL           |GR|POUND |0001000|001|00001000000|0070
0021000651560|PKY V-O DT SFT TB             |GR|POUND |0001000|001|00001000000|0071
0021000651570|PKY V-O DT SFT 2TB            |GR|POUND |0001000|001|00001000000|0072
0034500140000|LOL V-O 4ST                   |GR|POUND |0001000|001|00001000000|0073
0034500140100|LOL V-O SFT 2TB               |GR|POUND |0001000|001|00001000000|0074
0034500140150|LOL SY-O SFT TB               |GR|POUND |0001000|001|00001000000|0075
0034500144100|LOL SY-O/SWT CM WHP SPR 2TB   |GR|POUND |0001000|001|00001000000|0076
0034500144150|LOL V-O/SWT CM SFT SPR TB     |GR|POUND |0001000|001|00001000000|0077
0034500144200|LOL LT SPR US 4ST         >   |GR|POUND |0001000|001|00001000000|0078
0034500144250|LOL V-O/SWT CM SFT SPR 4ST    |GR|POUND |0001000|001|00001000000|0079
0034500151100|LOL C M B C-O/BTR SFT 2TB     |GR|POUND |0001000|002|00001000000|0080
0034500151150|LOL C M B C-O/BTR SFT TB      |GR|POUND |0001000|001|00001000000|0081
0034500151200|LOL C M B C-O/BTR US SFT 2TB  |GR|POUND |0001000|001|00001000000|0082
0034500151300|LOL C M B C-O/BTR 4ST         |GR|POUND |0001000|001|00001000000|0083
0034500151400|LOL C M B C-O/BTR US 4ST      |GR|POUND |0001000|001|00001000000|0084
0011115700180|BALANCE BLEND V-O 4ST         |GR|POUND |0001000|001|00001000000|0085
0011115710180|BALANCE BLEND V-O US 4ST      |GR|POUND |0001000|001|00001000000|0086
0011115181250|IMPRL V-O SFT TB              |GR|POUND |0001000|001|00001000000|0087
0011115593260|IMPRL V-O DT SFT 2TB          |GR|POUND |0001000|001|00001000000|0088
0011115640210|IMPRL V-O SFT SPR 2TB         |GR|POUND |0001000|001|00001000000|0089
